family,order,seasonal_order,status,mae,rmse,mape,aic,bic,ticker,error
ARIMA,"(1, 1, 1)","(0, 0, 0, 0)",ok,70.97518107735229,73.98063376777343,17.882005999681294,-6580.873756149838,-6560.476949175626,MSFT,
ARIMA,"(1, 1, 2)","(0, 0, 0, 0)",ok,70.86348599039735,73.86397226072829,17.853388679770323,-6574.019208974694,-6548.527330781741,MSFT,
ARIMA,"(2, 1, 0)","(0, 0, 0, 0)",ok,71.87488268151024,74.85264505451596,18.104546688859475,-6581.237101578044,-6560.840294603831,MSFT,
ARIMA,"(2, 1, 1)","(0, 0, 0, 0)",ok,72.90559548380692,75.92325555907927,18.36527104954374,-6568.473270859393,-6542.977262141628,MSFT,
ARIMA,"(2, 1, 2)","(0, 0, 0, 0)",ok,72.37636331761844,75.33459523506171,18.22881472575919,-6568.5646364061995,-6537.974382574655,MSFT,
ARIMA,"(0, 2, 1)","(0, 0, 0, 0)",ok,51.36083264925643,56.37426434315025,13.030691032320174,-6563.526035996065,-6548.230909080293,MSFT,
ARIMA,"(0, 2, 2)","(0, 0, 0, 0)",ok,56.70676213107187,61.037245682356016,14.362279786718235,-6539.8922521534205,-6519.502056750961,MSFT,
ARIMA,"(1, 2, 0)","(0, 0, 0, 0)",ok,422.41860248340015,468.9066454092933,104.60466109833253,-6052.6949024349715,-6037.397297204312,MSFT,
ARIMA,"(1, 2, 1)","(0, 0, 0, 0)",ok,50.95080417642561,56.01024517453497,12.928172205724334,-6559.991775130524,-6539.5982725761605,MSFT,
ARIMA,"(1, 2, 2)","(0, 0, 0, 0)",ok,57.826856292084166,61.948984595560525,14.638033665469363,-6555.621064589285,-6530.133320336211,MSFT,
ARIMA,"(2, 2, 0)","(0, 0, 0, 0)",ok,442.9857100151829,492.62297355670285,109.67722909873181,-6182.858983642729,-6162.465481088366,MSFT,
ARIMA,"(2, 2, 1)","(0, 0, 0, 0)",ok,58.949554649126824,63.032754292697824,14.918628629152986,-6550.798160047425,-6525.306281854471,MSFT,
ARIMA,"(2, 2, 2)","(0, 0, 0, 0)",ok,62.674005596640626,66.32299251440243,15.837938215338013,-6521.182569971096,-6490.597276867407,MSFT,
SARIMAX,"(0, 1, 0)","(0, 0, 1, 5)",ok,72.81407936479872,75.78606637604344,18.339141745160358,-6557.477130830056,-6542.189451166763,MSFT,
SARIMAX,"(0, 1, 0)","(0, 1, 1, 5)",ok,64.58494755159538,68.04170707327111,16.30884066598337,-6500.763292098805,-6485.48806575352,MSFT,
SARIMAX,"(0, 1, 0)","(1, 0, 0, 5)",ok,72.93607950620417,75.90416860673328,18.36928646766882,-6563.469018969994,-6548.178854834509,MSFT,
SARIMAX,"(0, 1, 0)","(1, 0, 1, 5)",ok,72.40077218851009,75.3843167314811,18.23668811374603,-6554.02050663944,-6533.6369337550495,MSFT,
SARIMAX,"(0, 1, 0)","(1, 1, 0, 5)",ok,67.18965262782058,70.36154822452791,16.920233338723296,-6046.544613151902,-6031.266892003978,MSFT,
SARIMAX,"(0, 1, 0)","(1, 1, 1, 5)",ok,67.54145206192646,70.7688449735724,17.037883296767713,-6494.43214769533,-6474.065179234949,MSFT,
SARIMAX,"(0, 1, 1)","(0, 0, 1, 5)",ok,72.66449486201662,75.63906580738978,18.301998878217738,-6549.27921685696,-6528.898959347812,MSFT,
SARIMAX,"(0, 1, 1)","(0, 1, 0, 5)",ok,150.76039847189543,160.1461176706223,37.542580086020216,-5765.9369509008975,-5750.6517577690365,MSFT,
SARIMAX,"(0, 1, 1)","(0, 1, 1, 5)",ok,69.5099537400448,72.62106909573461,17.52346378795205,-6492.932848204872,-6472.569208916552,MSFT,
SARIMAX,"(0, 1, 1)","(1, 0, 0, 5)",ok,72.7832850168323,75.75400731560333,18.331350426501658,-6561.721711390706,-6541.334825876727,MSFT,
SARIMAX,"(0, 1, 1)","(1, 0, 1, 5)",ok,72.34616886108951,75.32903932976514,18.22297985511164,-6546.17414550719,-6520.698823620754,MSFT,
SARIMAX,"(0, 1, 1)","(1, 1, 0, 5)",ok,65.99579216236148,69.20467603967123,16.625597552097844,-6045.2868726849665,-6024.916577821068,MSFT,
SARIMAX,"(0, 1, 1)","(1, 1, 1, 5)",ok,63.745744806899516,67.26744736245068,16.10145540244461,-6486.887913558885,-6461.433364448485,MSFT,
SARIMAX,"(1, 1, 0)","(0, 0, 1, 5)",ok,72.73690807083615,75.7095364467691,18.319916264781792,-6555.715641961861,-6535.332069077471,MSFT,
SARIMAX,"(1, 1, 0)","(0, 1, 0, 5)",ok,149.82705512193454,159.04127084067522,37.31457189196872,-5771.387512730336,-5756.099833067044,MSFT,
SARIMAX,"(1, 1, 0)","(0, 1, 1, 5)",ok,64.80246905161218,68.23560033701254,16.36228161299493,-6498.239790918806,-6477.872822458425,MSFT,
SARIMAX,"(1, 1, 0)","(1, 0, 0, 5)",ok,72.7321014332004,75.70503481085332,18.318765430380473,-6555.6782186824585,-6535.294645798068,MSFT,
SARIMAX,"(1, 1, 0)","(1, 0, 1, 5)",ok,72.28928906534543,75.27466915418897,18.208990801895386,-6552.43343568541,-6526.953969579922,MSFT,
SARIMAX,"(1, 1, 0)","(1, 1, 0, 5)",ok,65.85659898102239,69.08149200731962,16.592111008431317,-6039.325661192057,-6018.958692731676,MSFT,
SARIMAX,"(1, 1, 0)","(1, 1, 1, 5)",ok,64.30056345516687,67.77220613944885,16.23831042640334,-6492.581761454339,-6467.123050878864,MSFT,
SARIMAX,"(1, 1, 1)","(0, 0, 1, 5)",ok,70.94789161551934,73.94824564419284,17.875126971713726,-6550.065138116994,-6524.589816230558,MSFT,
SARIMAX,"(1, 1, 1)","(0, 1, 0, 5)",ok,45.79136312651115,51.8576596677571,11.634923662026823,-5890.251113457727,-5869.8708559485785,MSFT,
SARIMAX,"(1, 1, 1)","(0, 1, 1, 5)",failed,,,,,,MSFT,Input contains NaN.
SARIMAX,"(1, 1, 1)","(1, 0, 0, 5)",ok,71.11887140524972,74.11146494485403,17.917124110280586,-6555.724008624463,-6530.244542518975,MSFT,
SARIMAX,"(1, 1, 1)","(1, 0, 1, 5)",ok,70.32030468365964,73.3455792777798,17.719953023347852,-6546.088100506975,-6515.517714243252,MSFT,
SARIMAX,"(1, 1, 1)","(1, 1, 0, 5)",ok,56.59751710752474,60.51575928983671,14.309463681308687,-6096.261724568833,-6070.803013993358,MSFT,
SARIMAX,"(1, 1, 1)","(1, 1, 1, 5)",ok,39.22001226982154,46.778611967498996,9.994431715632777,-6439.011457926374,-6408.465998993894,MSFT,
AR,"(1, 0, 0)","(0, 0, 0, 0)",ok,11.080473351008425,13.64425430912877,5.6882669824677174,-7349.771988194435,-7334.469432467603,NVDA,
AR,"(2, 0, 0)","(0, 0, 0, 0)",ok,10.821326633783118,13.357914840005042,5.599699640709772,-7352.636954189304,-7332.236845522787,NVDA,
AR,"(3, 0, 0)","(0, 0, 0, 0)",ok,10.933994916861167,13.48874886725491,5.640355881425896,-7347.24787889391,-7321.751870176145,NVDA,
MA,"(0, 0, 1)","(0, 0, 0, 0)",ok,119.38329200672347,120.5756899646441,61.38308277781197,-1410.074944190323,-1394.7748626904354,NVDA,
